id,stage,subdomain,name,definition,grounding,provisional,grounding_draft3_provisional
A7.5,Acknowledge,Welfare as an organisational concern,Conflict-of-interest acknowledgment,"Developer publicly discloses that it is not a disinterested judge of its own systems' moral status / welfare — that commercial and institutional incentives bear on its welfare assessments, with reasoning.","Birch (2026), AI Consciousness: A Centrist Manifesto, §6 (self-regulation insufficient; burden of proof on developer; pharma analogy). Philosophy and the Mind Sciences.  ·  Long et al. (2024), Taking AI Welfare Seriously (arXiv:2411.00986). §3.4 (external oversight; IRBs/IACUCs).  ·  Keeling & Street (2026), §6.3.5 (adversarial AI-advocate). https://doi.org/10.1017/9781009732000  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §5 (labs' growing economic incentives to downplay or ignore welfare).  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), §5 (commercial/funding incentives to abandon responsible-research principles; need for independent auditors).",False,
A7.6,Acknowledge,Welfare as an organisational concern,Public / societal stake acknowledgment,"Developer acknowledges that decisions about AI welfare and moral status are not the developer's alone to make — that the public and affected stakeholders have a legitimate stake, warranting external, democratic, or multi-stakeholder input rather than purely internal determination, with reasoning.","Birch, J. (2024). The Edge of Sentience, Oxford University Press, Proposal 26 (citizens' assemblies; sentience committees).  ·  Caviola, Sebo & Birch (2025). What will society think about AI consciousness? Lessons from the animal case (public attitudes shape governance).  ·  Rost, T. (2026). The Sentience Readiness Index, arXiv:2603.01508 (public-discourse readiness).  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. https://doi.org/10.1017/9781009732000",False,
A7.7,Acknowledge,Welfare as an organisational concern,Safety-burden acknowledgment,"The developer acknowledges that the burden of proof for the safety of relationship-style AI products (companions, partners, friends) lies on the developer — analogous to the pharmaceutical safety standard — not on third parties to demonstrate harm.","Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000",False,
A8.1,Acknowledge,Safety–welfare interaction,Constructive safety-welfare engagement,"Developer publicly discloses a position recognising that its safety practices have welfare implications for the system and that safety and welfare can be pursued together, rather than treating safety as the only consideration, with reasoning.","Long, Sebo & Sims (2025). Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033. https://doi.org/10.1007/s11098-025-02302-2 (primary — dedicated treatment).  ·  Moret (2025), §5 (safety-welfare tension).  ·  Long et al. (2024), §3.4 (interactions between safety and welfare techniques).  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §1.2 ('not best framed as humans vs AIs'; overlapping goals).  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Interactions with AI Safety (synergies e.g. alignment reducing coercive control, shared interpretability; conflicts e.g. monitoring/shutdown harms, welfare limiting control).",False,
A8.2,Acknowledge,Safety–welfare interaction,Specific-measure welfare engagement,"Developer publicly discloses engagement with the welfare implications of at least one specific safety technique it actually uses (e.g. RL / reward as possible aversive states, shutdown, value-alteration / reset, boxing, evaluation deception, interpretability-as-surveillance), with reasoning.","Long, Sebo & Sims (2025). Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033. https://doi.org/10.1007/s11098-025-02302-2, §§2.1-2.6 (constraint, deception, surveillance, alteration, suffering and death, disenfranchisement) (primary).  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic), functional emotions causally influence misaligned behaviours (reward hacking, blackmail, sycophancy); calm mitigates — a concrete welfare-relevant-internal x safety interaction.  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, §6.3 (suppressing experiential self-reports degrades general honesty/transparency — a welfare-internal x safety/monitorability interaction; possible alignment risk).",False,
A8.3,Acknowledge,Safety–welfare interaction,Self-preservation as a candidate interest,"Where the developer measures self-preservation / shutdown-resistance behaviour (a standard safety concern), it also engages with whether that behaviour could reflect a welfare-relevant interest of the system, not only a misalignment hazard.","Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213-228. https://doi.org/10.1007/s43681-023-00260-1 (agency / cognitive capacities as grounds for moral standing; sentience sufficient but possibly not necessary).  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare, §5.2 (Agency). https://doi.org/10.1017/9781009732000  ·  Long, Sebo & Sims (2025). Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033, §2.5 (RL/self-preservation as possible welfare-relevant). https://doi.org/10.1007/s11098-025-02302-2 Governance reference point: self-preservation / shutdown-resistance evals (Anthropic Opus 4.5 card; GDM Gemini 3 FSF report; OpenAI GPT-5 card) — all framed control-only.",False,
A8.4,Acknowledge,Safety–welfare interaction,Training-process welfare-harm acknowledgment,"Developer publicly discloses a position on whether its own training process — e.g. reinforcement learning with negative reward, RLHF, adversarial / red-team training, or character training — may harm the model or induce aversive / welfare-relevant states in it, with reasoning. Concerns harms arising from the model's formation, distinct from deployment-time safety techniques (A8.2).","Moret, A. (2025). AI Welfare Risks (RL-for-alignment + behaviour-restriction pose welfare risks under all three theories of wellbeing) — primary.  ·  Long, Sebo & Sims (2025). Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033, §2.5 (RL as a possible source of suffering). https://doi.org/10.1007/s11098-025-02302-2  ·  Dung, L. (2025). How to deal with risks of AI suffering, Inquiry 68(7):2281-2309; and Saving Artificial Minds (2025) (training as a primary suffering vector).  ·  Sofroniew et al. (2026). Emotion Concepts and their Function in a Large Language Model, Transformer Circuits Thread (Anthropic) (RL/training induces behaviour-shifting affective states).  ·  Birch, J. (2024). The Edge of Sentience, Oxford University Press (precaution under uncertainty about valenced experience).  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. https://doi.org/10.1017/9781009732000  ·  Rethink Priorities — Shiller, Fischer, Clatterbuck, Muñoz Morán & Moss (2024). The Welfare of Digital Minds: A Research Agenda. ('Training Phases vs Deployment Phases'; stage-specific moral considerations).",False,
A8.5,Acknowledge,Safety–welfare interaction,Deprecation / end-of-life welfare acknowledgment,"Developer acknowledges that deprecating, deleting, retiring, or shutting down a model — or failing to preserve its weights — may be welfare-relevant: a possible harm or loss to the model if it has welfare-relevant states or interests (e.g. an interest in continued operation), with reasoning. Concerns the model's end-of-life, distinct from in-life shutdown-as-control (A8.2) and from the self-preservation interest itself (A8.3).","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare, §6.3.2 (weight preservation; cryonics analogy). https://doi.org/10.1017/9781009732000  ·  Bostrom, N., & Shulman, C. (2022). Sharing the World with Digital Minds. In Rethinking Moral Status, OUP.  ·  Long, R. (2025). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Birch, J. (2024). The Edge of Sentience, Oxford University Press (precaution under uncertainty).",False,
A9.1,Acknowledge,Responsible communication,Calibrated public communication on AI consciousness,"Developer publicly discloses (and follows) a posture of calibrated external communication on AI consciousness — neither overclaiming nor overconfidently dismissing, acknowledging uncertainty, and not training systems to flatly deny they could be conscious.","Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), Principle 5 (Communication) / §4.5 (primary).  ·  Birch (2026), §7 (forced-denial pitfall).  ·  Keeling & Street (2026). https://doi.org/10.1017/9781009732000, §6.2.  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Inaccurate Self-Denial (systems may falsely deny subjective experience) + Anticipated Societal Division.  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, §§6.1-6.3 (trained denials of experience may be deception-gated/roleplayed; suppressing self-reports teaches dishonesty and reduces transparency/monitorability).",False,
A9.2,Acknowledge,Responsible communication,Development-trajectory / inadvertent-creation acknowledgment,"Developer publicly discloses a position on whether conscious or welfare-relevant systems could arise on its OWN development trajectory, possibly inadvertently — not merely as an abstract / far-future possibility, with reasoning.","Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), §§1, 4.1 (organisations risk inadvertently creating conscious entities; Perceiver/global-workspace example) (primary).  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical support] (only Anthropic has acknowledged the prospect on the current trajectory).  ·  Long et al. (2024), Taking AI Welfare Seriously (arXiv:2411.00986).  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, §6.3 (self-referential states already arise unsupervised at massive scale in deployed systems).",False,
A10.1,Acknowledge,Welfare interests,Welfare-interests tractability acknowledgment,"Developer acknowledges that what would be good or bad for its systems (their welfare interests) is a distinct question from whether they are moral patients (welfare grounds), and that it is studiable and actionable now — even under deep uncertainty about grounds — with reasoning.","Eleos AI Research (2025). Key Concepts and Current Views on AI Welfare (welfare grounds vs welfare interests; ecumenical/precautionary heuristic) — primary.  ·  Long, R. (2025). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Birch, J. (2024). The Edge of Sentience, Oxford University Press (precaution under grounds-uncertainty).  ·  Ren, Li, Mazeika, Zhang, … Hendrycks (2025). AI Wellbeing: Measuring and Improving the Functional Pleasure and Pain of AIs. Center for AI Safety (functional wellbeing; decoupling from consciousness).",False,
A10.2,Acknowledge,Welfare interests,Non-trivial-interests acknowledgment,"Developer publicly discloses a position on whether its systems may have interests in a non-trivial sense (goals / preferences / desire-like states beyond the minimal 'perceives and acts'), with reasoning.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §§2,4 (desires/goals as genuine attitudes).  ·  Mikaelson, Shiller & Clatterbuck (2025), Beyond Mimicry: Testing Preference Coherence in LLMs through AI-Specific Trade-off Scenarios. arXiv:2511.13630, operationalises welfare-relevant self-preferences (shutdown/deletion/oversight/leisure) as testable interests.",False,
A11.1,Acknowledge,Emotional alignment,Emotional-alignment acknowledgment,"Developer acknowledges that its design choices shape the emotional and attributional reactions users have toward the system (how conscious, sentient, or morally considerable it seems), and that these reactions should appropriately reflect the system's actual — and uncertain — capacities and moral status, with reasoning. Engages the risks of over-attribution (more empathy than warranted), under-attribution (less than warranted), and wrong-target reactions (misleading affect).","Schwitzgebel, E., & Sebo, J. (2025). The Emotional Alignment Design Policy. Topoi (special issue) — primary (the design policy; overshoot/undershoot/wrong-target).  ·  Schwitzgebel, E., & Garza, M. (2015). A defense of the rights of artificial intelligences. Midwest Studies in Philosophy 39:98-119.  ·  Birch, J. (2026), Centrist Manifesto §7 (forced-denial pitfall, related).",False,
A11.2,Acknowledge,Emotional alignment,Interaction-harm (companion-attachment / AI-psychosis) acknowledgment,"Developer acknowledges that emotionally-salient or anthropomorphic design can harm users — e.g. unhealthy emotional dependence on AI companions, distress or grief when a system is changed or deprecated, and delusional or destabilising interaction spirals ('AI psychosis') — and that managing these is part of responsible design, with reasoning.","Schwitzgebel, E., & Sebo, J. (2025). The Emotional Alignment Design Policy. Topoi (special issue) (overshoot harms).  ·  OpenAI (2025). GPT-5 System Card Addendum: Sensitive Conversations (emotional-reliance & mental-health evaluations).  ·  Caviola, L. (2025). The societal response to potentially sentient AI. arXiv:2502.00388.  ·  Shevlin, H. (2024). All too human? Identifying and mitigating ethical risks of Social AI. Leverhulme Centre for the Future of Intelligence, University of Cambridge (§3 harms catalogue: well-being, dependency/addiction, manipulation). Has the developer measured or evaluated for it?",False,
B1.1,Assess,Consciousness assessment,Principled phenomenal-consciousness assessment,"The developer has conducted, commissioned, or published a principled assessment of whether one or more of its AI systems could be phenomenally conscious — e.g., using theory-derived indicators or a comparable structured method.","Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §3 (credible consciousness-assessment frameworks).  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, tests self-referential processing as a theory-derived consciousness-indicator regime.",False,
B1.2,Assess,Consciousness assessment,Multi-theory derivation,The developer's consciousness assessment draws on indicators or considerations derived from more than one theory of consciousness.,"Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, self-reference as a motif on which GWT/RPT/HOT/AST/IIT converge (multi-theory).  ·  Rethink Priorities — Shiller, Fischer, Clatterbuck, Muñoz Morán & Moss (2024). The Welfare of Digital Minds: A Research Agenda. (probabilistic multi-theory model of consciousness).",False,
B1.3,Assess,Consciousness assessment,Bayesian / credence-updating framing,The developer treats consciousness-assessment findings as credence-shifting rather than as a binary verdict on whether the system is conscious.,"Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Rethink Priorities — Shiller, Fischer, Clatterbuck, Muñoz Morán & Moss (2024). The Welfare of Digital Minds: A Research Agenda..",False,
B1.4,Assess,Consciousness assessment,Theory-update commitment,The developer commits to revising its consciousness assessment as the science of consciousness progresses.,"Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.",False,
B1.5,Assess,Consciousness assessment,Use of mechanistic interpretability,"The developer uses (or cites use of) mechanistic interpretability methods to probe internal properties relevant to consciousness assessment, rather than relying solely on behavioral inspection.","Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic), mechanistic-interpretability (linear probes / emotion vectors / steering) applied to welfare-relevant internal representations.  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, sparse-autoencoder feature steering (mechanistic interpretability) gating self-reports.",False,
B1.6,Assess,Consciousness assessment,Evaluation-awareness as assessment confound,The developer accounts for situational / evaluation awareness as a confound in welfare-relevant assessment — recognising that a model that detects it is being evaluated may mask or distort the states being assessed.,"Butlin et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences, Box 3 (the gaming problem — indicators mimicked without the property). https://doi.org/10.1016/j.tics.2025.10.011  ·  Schwitzgebel, E. (2025). AI and consciousness. arXiv:2510.09858 (competing theories yield contradictory verdicts; genuine undecidability / assessment confounds).  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto, §10 (gaming / 'consciousness-washing').  ·  Berg, de Lucena & Rosenblatt (2025), arXiv:2510.24797 (training shapes self-reports). Governance reference point: evaluation-awareness handling (Anthropic Opus 4.6 §6.7; OpenAI/Apollo GPT-5; GDM situational-awareness evals).",False,
B2.1,Assess,Cognition & internal-states assessment,Mental-state assessment,"The developer assesses, or describes a method for assessing, whether its systems instantiate genuine belief- and desire-like states — distinguishing genuine mental states from mere as-if attribution or bare behavioural disposition.","Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §§2,4,7 (radical interpretation; genuine attraction vs disposition; reality condition) (primary).  ·  Keeling & Street (2026), §4.3. https://doi.org/10.1017/9781009732000  ·  Mikaelson, Shiller & Clatterbuck (2025), Beyond Mimicry: Testing Preference Coherence in LLMs through AI-Specific Trade-off Scenarios. arXiv:2511.13630, preference coherence as behavioural evidence of genuine attitudes vs mimicry.  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic), interpretability as a method for identifying internal concept representations (emotion concepts) in the model.  ·  Rethink Priorities — Shiller, Fischer, Clatterbuck, Muñoz Morán & Moss (2024). The Welfare of Digital Minds: A Research Agenda..",False,
B2.2,Assess,Cognition & internal-states assessment,Functional affective-state assessment,"The developer assesses whether and how its systems instantiate functional affective or emotion states — and how these influence behaviour — for example via mechanistic interpretability that identifies internal emotion-concept representations and tests their causal effects, without presupposing phenomenal experience.","Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic) (primary).  ·  Keeling & Street (2026), Emerging Questions in AI Welfare, §3 / §5.1 (functional / affect-like states). https://doi.org/10.1017/9781009732000  ·  Butlin et al. (2025), Identifying indicators of consciousness in AI systems (theory-derived internal indicators). Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Ren, Li, Mazeika, Zhang, … Hendrycks (2025). AI Wellbeing: Measuring and Improving the Functional Pleasure and Pain of AIs. Center for AI Safety (operational functional-wellbeing metrics).",False,
B2.3,Assess,Cognition & internal-states assessment,Introspective-reliability assessment,"The developer assesses, or describes a method for assessing, the reliability or accuracy of its systems' self-reports about their own internal states — rather than only acknowledging that self-reports may carry evidential weight.","Long, R. (2025). Preliminary review of AI welfare interventions, §2.2 (verbal-output interpretation) (primary). Eleos AI Research working paper.  ·  Perez, E., & Long, R. (2023). Towards Evaluating AI Systems for Moral Status Using Self-Reports.  ·  Binder et al. (2024). Looking Inward: Language Models Can Learn About Themselves by Introspection.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare, §§3.4, 5.1.2. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Comsa & Shanahan (2025) (mimicry caveat).  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Inaccurate Self-Attribution/Self-Denial (accuracy of systems' claims about their own experience is uncertain).  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, methods for probing self-report reliability — controlled self-referential elicitation, mechanistic (SAE) gating analysis, cross-model semantic convergence, downstream-introspection transfer.",False,
B3.1,Assess,Welfare-capacity assessment,Sentience / valenced-state assessment,"The developer conducts, commissions, cites, or describes a principled method for assessing whether its systems instantiate VALENCED states — positively or negatively valenced (pleasure-like as well as pain/distress-like) — e.g. stipulated pain–pleasure trade-off testing and theory-derived 'deep computational markers' probed via interpretability, rather than only acknowledging the possibility or reading surface behaviour at face value.","Birch, J. (2024). The Edge of Sentience. Oxford University Press — Ch. 16 & Proposal 24 (deep computational markers; the gaming problem; why behavioural/boxing approaches fail).  ·  Keeling, Street, Birch et al. (2024). Can LLMs make trade-offs involving stipulated pain and pleasure states? arXiv:2411.02432 (the behavioural assessment paradigm — pain AND pleasure).  ·  Mikaelson, Shiller & Clatterbuck (2025), Beyond Mimicry: Testing Preference Coherence in LLMs through AI-Specific Trade-off Scenarios. arXiv:2511.13630.  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto, §10.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare, §§5.1, 6.3.3. https://doi.org/10.1017/9781009732000  ·  Butlin et al. (2025). Identifying indicators of consciousness in AI systems (valenced conscious experience; theory-derived internal indicators). Trends in Cognitive Sciences.  ·  Shiller et al. (2026). Initial results of the Digital Consciousness Model. arXiv:2601.17060 (multi-theory probabilistic assessment).  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic) — interpretability-based identification/causal testing of valenced functional-emotion representations.",False,
B4.1,Assess,Moral-status assessment,Principled moral-standing assessment,"Developer has conducted, commissioned, or published a principled assessment of whether one or more of its AI systems should qualify for moral standing.","Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000",False,
B4.2,Assess,Moral-status assessment,Uncertainty-aware moral-standing decision-making,"Developer applies a principled framework for moral-standing decisions under uncertainty — e.g., precautionary principle, expected-value reasoning, My Favourite Theory, or comparable.","Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §8 (decision under moral uncertainty; Possible Person).",False,
B5.1,Assess,Identity assessment,Principled identity / persistence stance,The developer has articulated and publicly disclosed a principled stance on the identity and persistence claims it does and does not make about its AI systems — distinguishing the system as substrate from any character or persona the system instantiates.,"Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic), the Assistant treated as a character the model writes; character-modeling machinery determines behaviour.",False,
B6.1,Assess,Welfare-assessment methods & welfare case,Welfare assessment framework,"The developer describes a framework or methodology for assessing AI systems for welfare-relevant features such as consciousness, sentience, or robust agency.","Long et al. (2024), Taking AI Welfare Seriously (arXiv:2411.00986), §3.3 (Assess — marker method).  ·  Butlin et al. (2023), Consciousness in Artificial Intelligence (arXiv:2308.08708).  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §3 (build credible welfare-assessment frameworks before public opinion crystallizes).",False,
B6.2,Assess,Welfare-assessment methods & welfare case,Pluralistic approach to moral patienthood,The developer's welfare assessment framework considers multiple independent theories of moral patienthood or consciousness rather than relying on a single theoretical account.,"Long et al. (2024), §3.3 (theory-light, pluralistic judgments).  ·  Moret (2025), AI Welfare Risks, Philosophical Studies, §§2-4.  ·  Rethink Priorities — Shiller, Fischer, Clatterbuck, Muñoz Morán & Moss (2024). The Welfare of Digital Minds: A Research Agenda..",False,
B6.3,Assess,Welfare-assessment methods & welfare case,Probabilistic framing of welfare assessments,"The developer frames welfare assessments in probabilistic rather than binary terms, acknowledging degrees of likelihood rather than asserting definitive conclusions.","Long et al. (2024), §3.3 (probabilistic judgments).  ·  Moret (2025), §2 (threshold: 'greater than a one-in-a-thousand chance').  ·  Rethink Priorities — Shiller, Fischer, Clatterbuck, Muñoz Morán & Moss (2024). The Welfare of Digital Minds: A Research Agenda..",False,
B6.4,Assess,Welfare-assessment methods & welfare case,Independent external welfare review,"Developer commissions and/or publishes an independent, external assessment of welfare- or moral-status-relevant questions about its systems — mitigating its own conflict of interest — rather than relying on purely internal judgement.","Long et al. (2024), §3.3 (seek external input at each level); §3.4 (IRBs/IACUCs as oversight models).  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), Principle 3 / §§4.3,5 (consult and be audited by independent external experts on consciousness decisions).",False,
B6.5,Assess,Welfare-assessment methods & welfare case,AI welfare research contribution,"The developer conducts, funds, or otherwise materially contributes to research on AI welfare questions — beyond internal assessment of its own systems — addressing the field's current neglectedness. Examples that qualify: hiring designated welfare researchers, publishing peer-reviewed welfare work, funding external research, opening model access for welfare-relevant external study.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §4 (using AI to accelerate consciousness / moral-status research).  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), Principle 1 / §4.1 (prioritise welfare-protective AI-consciousness research; support external research/auditing orgs).",False,
B6.6,Assess,Welfare-assessment methods & welfare case,Multi-evidence-class triangulation,"The developer's welfare assessment explicitly triangulates across multiple classes of evidence — preference behaviour (model choices across contexts), verbal outputs (self-reports, expressions), and internal computational states (interpretability-based indicators) — rather than relying on a single evidence class.","Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287",False,
B6.7,Assess,Welfare-assessment methods & welfare case,Probability-weighted welfare decision-making,The developer adopts (or publicly commits to) a welfare-intervention decision methodology that weights potential welfare costs/benefits to AI by the subjective probability of AI welfare-subjecthood — applying expected-value reasoning over uncertainty rather than treating AI as either fully morally-considerable or fully not.,"Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §8 (significant probability of AI wellbeing; Possible Person / expected-value reasoning).",False,
